Date,Team,Acquired,Relinquished,Notes
2021-11-12,Pelicans,Naji Marshall,,returned to lineup
2021-11-12,Suns,Landry Shamet,,returned to lineup
2021-11-14,Bucks,,George Hill,sore back (DTD)
2021-11-15,76ers,,Danny Green,left hamstring injury (DTD)
2021-11-15,Cavaliers,,Jarrett Allen,illness (DTD)
2021-11-15,Nuggets,,Zeke Nnaji,sprained right ankle (DTD)
2021-11-15,Suns,Deandre Ayton,,returned to lineup
2021-11-17,Bucks,George Hill,,returned to lineup
2021-11-18,Clippers,,Nicolas Batum,sore right Achilles (DTD)
2021-11-18,Timberwolves,,Naz Reid,sore right foot (DTD)
2021-11-19,Bucks,,Rodney Hood,right hamstring injury (DTD)
2021-11-19,Cavaliers,,Collin Sexton,surgery on left knee to repair torn meniscus (out for season)
2021-11-19,Clippers,Nicolas Batum,,returned to lineup
2021-11-19,Warriors,,Otto Porter Jr.,left foot injury (DTD)
2021-11-20,Bucks,Rodney Hood,,returned to lineup
2021-11-20,Magic,,Cole Anthony,sprained right ankle (DTD)
2021-11-20,Timberwolves,Naz Reid,,returned to lineup
2021-11-21,Clippers,,Nicolas Batum,NBA health and safety protocols (DTD)
2021-11-21,Suns,,Abdel Nader,right knee injury (DTD)
2021-11-21,Warriors,Otto Porter Jr.,,returned to lineup
2021-11-22,76ers,,Seth Curry,back injury (DTD)
2021-11-22,76ers,,Tobias Harris,sore left hip (DTD)
2021-11-22,Magic,,Gary Harris,sprained right hand (DTD)
2021-11-24,76ers,Seth Curry,,returned to lineup
2021-11-24,Lakers,,Anthony Davis,flu (DTD)
2021-11-24,Magic,,Terrence Ross,lower back spasms (DTD)
2021-11-24,Magic,Gary Harris,,returned to lineup
2021-11-24,Nets,,David Duke Jr.,left hip flexor injury (DTD)
2021-11-25,Lakers,Anthony Davis,,returned to lineup
2021-11-26,Lakers,Austin Reaves,,returned to lineup
2021-11-26,Magic,Terrence Ross,,returned to lineup
2021-11-27,76ers,,Shake Milton,sore groin (DTD)
2021-11-27,Heat,,Tyler Herro,illness (DTD)
2021-11-27,Magic,,Mo Bamba,lower back spasms (DTD)
2021-11-28,Kings,,Moe Harkless,sore left knee (DTD)
2021-11-29,76ers,Shake Milton,,returned to lineup
2021-11-29,Hornets,,Cody Martin,illness (DTD)
2021-11-29,Magic,Mo Bamba,,returned to lineup
2021-11-29,Nets,,Joe Harris,surgery on left ankle (out for season)
2021-11-29,Nuggets,,Michael Porter Jr.,surgery on back (out for season)
2021-11-29,Thunder,,Mike Muscala,sore right ankle (DTD)
2021-11-29,Timberwolves,,Jarred Vanderbilt,flu (DTD)
2021-11-30,76ers,,Grant Riller,sore right shoulder (DTD)
2021-11-30,Lakers,,Avery Bradley,sprained right thumb (DTD)
2021-11-30,Kings,,Robert Woodard II,sore left ankle (DTD)
2021-12-01,Pelicans,,Josh Hart,sore left knee (DTD)
2021-12-01,Suns,,Devin Booker,left hamstring injury (DTD)
2021-12-01,Timberwolves,Jarred Vanderbilt,,returned to lineup
2021-12-01,Wizards,,Isaiah Todd,toe injury (DTD)
2021-12-02,Bucks,,Brook Lopez,surgery on back (out indefinitely)
2021-12-02,Bucks,,Giannis Antetokounmpo,right calf injury (DTD)
2021-12-02,Knicks,,Jericho Sims,illness (DTD)
2021-12-02,Nuggets,,Bol Bol,NBA health and safety protocols (DTD)
2021-12-02,Thunder,,Kenrich Williams,sprained right ankle (DTD)
2021-12-03,76ers,,Tobias Harris,illness (DTD)
2021-12-03,Lakers,Avery Bradley,,returned to lineup
