Date,Team,Acquired,Relinquished,Notes
2022-03-14,Spurs,Joe Wieskamp,,returned to lineup
2022-03-14,Timberwolves,,Jordan McLaughlin,right groin injury (DTD)
2022-03-15,Nets,,Cam Thomas,back injury (DTD)
2022-03-15,Pacers,Chris Duarte,,returned to lineup
2022-03-15,Pacers,Lance Stephenson,,returned to lineup
2022-03-15,Pistons,,Cade Cunningham,illness (DTD)
2022-03-15,Pistons,Rodney McGruder,,returned to lineup
2022-03-15,Thunder,Aaron Wiggins,,returned to lineup
2022-03-16,Nets,Cam Thomas,,returned to lineup
2022-03-16,Suns,,Jae Crowder,left groin injury (DTD)
2022-03-16,Timberwolves,Jordan McLaughlin,,returned to lineup
2022-03-18,Jazz,,Hassan Whiteside,illness (DTD)
2022-03-18,Lakers,,Talen Horton-Tucker,sprained left ankle (DTD)
2022-03-18,Nets,Seth Curry,,returned to lineup
2022-03-18,Pacers,Goga Bitadze,,returned to lineup
2022-03-19,Lakers,Talen Horton-Tucker,,returned to lineup
2022-03-19,Pistons,Cade Cunningham,,returned to lineup
2022-03-19,Wizards,,Kyle Kuzma,right knee tendinitis (out for season)
2022-03-20,Blazers,,Justise Winslow,sore right Achilles (DTD)
2022-03-20,Jazz,Hassan Whiteside,,returned to lineup
2022-03-20,Suns,,Cameron Payne,illness (DTD)
2022-03-20,Suns,Jae Crowder,,returned to lineup
2022-03-21,Blazers,Justise Winslow,,returned to lineup
2022-03-21,Nets,,Andre Drummond,illness (DTD)
2022-03-21,Pistons,,Kelly Olynyk,sore left ankle (DTD)
2022-03-21,Thunder,,Olivier Sarr,illness (DTD)
2022-03-22,Nets,Andre Drummond,,returned to lineup
2022-03-22,Pistons,Kelly Olynyk,,returned to lineup
2022-03-22,Suns,Cameron Payne,,returned to lineup
2022-03-23,Knicks,,Mitchell Robinson,sore lower back (DTD)
2022-03-23,Nets,,Goran Dragic,sore left knee (DTD)
2022-03-23,Nets,,Seth Curry,sprained left ankle (DTD)
2022-03-23,Pacers,,Jalen Smith,illness (DTD)
2022-03-23,Pistons,,(Sean) Chris Smith,surgery on left knee to repair torn ACL (out for season) (date approximate)
2022-03-23,Thunder,Olivier Sarr,,returned to lineup
2022-03-23,Warriors,,Otto Porter Jr.,lower back injury (DTD)
2022-03-24,Mavericks,,Trey Burke,illness (DTD)
2022-03-24,Warriors,Otto Porter Jr.,,returned to lineup
2022-03-25,Blazers,,Justise Winslow,left calf inflammation (out for season)
2022-03-25,Hawks,,Bogdan Bogdanovic,sore right knee (DTD)
2022-03-25,Jazz,,Udoka Azubuike,surgery on right foot (out for season)
2022-03-25,Knicks,Mitchell Robinson,,returned to lineup
2022-03-25,Wizards,,Daniel Gafford,strained neck (DTD)
2022-03-26,Nets,Goran Dragic,,returned to lineup
2022-03-26,Nets,Seth Curry,,returned to lineup
2022-03-26,Pacers,,Duane Washington Jr.,bruised right hip (DTD)
2022-03-26,Pacers,,Goga Bitadze,sore right foot (DTD)
2022-03-26,Pacers,,Malcolm Brogdon,conditioning (DTD)
2022-03-26,Pacers,Jalen Smith,,returned to lineup
2022-03-26,Spurs,,Devin Vassell,sore right Achilles (DTD)
2022-03-27,Jazz,,Rudy Gobert,right leg injury (DTD)
2022-03-27,Mavericks,Trey Burke,,returned to lineup
2022-03-27,Wizards,Daniel Gafford,,returned to lineup
2022-03-28,Blazers,,Greg Brown III,left eye injury (DTD)
2022-03-28,Blazers,,Trendon Watford,bruised left knee (out for season)
2022-03-28,Hawks,,De'Andre Hunter,sore right knee (DTD)
2022-03-28,Hawks,Bogdan Bogdanovic,,returned to lineup
2022-03-28,Kings,,Alex Len,illness (DTD)
2022-03-28,Pacers,,Oshae Brissett,sore back (DTD)
2022-03-28,Pacers,Goga Bitadze,,returned to lineup
2022-03-28,Pacers,Malcolm Brogdon,,returned to lineup
2022-03-28,Spurs,Devin Vassell,,returned to lineup
2022-03-28,Thunder,,Tre Mann,strained right hamstring (out for season)
2022-03-29,Jazz,Rudy Gobert,,returned to lineup
2022-03-30,Blazers,Greg Brown III,,returned to lineup
2022-03-30,Hawks,De'Andre Hunter,,returned to lineup
2022-03-30,Kings,Alex Len,,returned to lineup
2022-03-30,Mavericks,,Frank Ntilikina,sprained right ankle (DTD)
2022-03-30,Pacers,Duane Washington Jr.,,returned to lineup
2022-04-01,Clippers,,Marcus Morris,sore left knee (DTD)
2022-04-01,Clippers,,Nicolas Batum,sore left ankle (DTD)
2022-04-01,Grizzlies,,Desmond Bane,sore left ankle (DTD)
2022-04-01,Knicks,,Julius Randle,right quadricep injury (out for season)
2022-04-01,Mavericks,Frank Ntilikina,,returned to lineup
2022-04-01,Pacers,Oshae Brissett,,returned to lineup
2022-04-01,Pistons,,Cory Joseph,lumbar spine injury (out for season)
2022-04-01,Spurs,,Dejounte Murray,illness (DTD)
2022-04-01,Thunder,,Aleksej Pokusevski,flu (DTD)
2022-04-02,Clippers,Marcus Morris,,returned to lineup
2022-04-02,Clippers,Nicolas Batum,,returned to lineup
2022-04-02,Knicks,,Miles McBride,sore right knee (DTD)
2022-04-02,Mavericks,,Maxi Kleber,sore right ankle (DTD)
2022-04-02,Nets,,Seth Curry,sore left ankle (DTD)
2022-04-03,Kings,,Alex Len,sore back (out for season)
2022-04-03,Knicks,Miles McBride,,returned to lineup
2022-04-03,Nets,,Ben Simmons,back injury (out for season)
2022-04-03,Pistons,,Cade Cunningham,right hip injury (DTD)
2022-04-03,Suns,,Jae Crowder,sore right ankle (DTD)
2022-04-03,Thunder,Aleksej Pokusevski,,returned to lineup
2022-04-03,Warriors,,Klay Thompson,placed on IL with right Achilles tendon injury
2022-04-03,Pistons,(Sean) Chris Smith,,returned to lineup
2022-04-04,Blazers,,Brandon Williams (b. 1975-02-27),bruised left quadricep (DTD)
2022-04-04,Grizzlies,Desmond Bane,,returned to lineup
2022-04-04,Heat,,Markieff Morris,left hip flexor injury (DTD)
2022-04-04,Pistons,,Rodney McGruder,strained left hip (DTD)
2022-04-04,Pistons,Cade Cunningham,,returned to lineup
2022-04-04,Suns,Jae Crowder,,returned to lineup
2022-04-05,Hawks,,Danilo Gallinari,left knee inflammation (DTD)
2022-04-06,Hawks,Danilo Gallinari,,returned to lineup
2022-04-06,Knicks,,Mitchell Robinson,illness (out for season)
2022-04-06,Nets,Seth Curry,,returned to lineup
2022-04-06,Suns,,Chris Paul,right thumb injury (DTD)
2022-04-06,Suns,,Deandre Ayton,sore right ankle (DTD)
2022-04-06,Suns,,Devin Booker,sore lower back (DTD)
2022-04-06,Suns,,Jae Crowder,sore right ankle (DTD)
2022-04-07,Blazers,Brandon Williams (b. 1975-02-27),,returned to lineup
2022-04-07,Pistons,Rodney McGruder,,returned to lineup
2022-04-07,Suns,Chris Paul,,returned to lineup
2022-04-07,Suns,Deandre Ayton,,returned to lineup
2022-04-07,Suns,Devin Booker,,returned to lineup
2022-04-07,Suns,Jae Crowder,,returned to lineup
2022-04-08,Heat,Markieff Morris,,returned to lineup
2022-04-08,Mavericks,,Brandon Knight,player became a free agent
2022-04-08,Suns,,Cameron Payne,sore right knee (DTD)
2022-04-09,76ers,,Georges Niang,left knee injury (DTD)
2022-04-09,Knicks,,R.J. Barrett,sprained right knee (out for season)
2022-04-09,Pacers,,Jalen Smith,left groin injury (out for season)
2022-04-09,76ers,,Charles Bassey,right shoulder injury (DTD)
2022-04-10,76ers,,Joel Embiid,sore right knee (DTD)
2022-04-10,Blazers,,Drew Eubanks,sprained right wrist (out for season)
2022-04-10,Bucks,,Bobby Portis,sore left shoulder (DTD)
2022-04-10,Bucks,,Khris Middleton,sore left wrist (DTD)
2022-04-10,Bulls,,Coby White,sprained toe (DTD)
2022-04-10,Clippers,,Nicolas Batum,sore left ankle (out for season)
2022-04-10,Clippers,,Norman Powell,left foot injury (out for season)
2022-04-10,Grizzlies,,Tyus Jones,sore left hand (DTD)
2022-04-10,Heat,,Markieff Morris,left hip flexor injury (DTD)
2022-04-10,Hornets,,Nick Richards,left hand injury (out for season)
2022-04-10,Knicks,,Miles McBride,sore right knee (out for season)
2022-04-10,Nets,,Seth Curry,sore left ankle (DTD)
2022-04-10,Suns,,Chris Paul,right thumb injury (DTD)
2022-04-10,Suns,,Jae Crowder,sore right ankle (DTD)
2022-04-10,Warriors,Klay Thompson,,returned to lineup
2022-04-11,Nets,Seth Curry,,returned to lineup
2022-04-12,Clippers,,Luke Kennard,sore right hamstring (out for season)
2022-04-12,Timberwolves,,Taurean Prince,right knee inflammation (DTD)
2022-04-13,Suns,Cameron Payne,,returned to lineup
2022-04-15,76ers,Joel Embiid,,returned to lineup
2022-04-15,Grizzlies,Tyus Jones,,returned to lineup
2022-04-16,Bucks,Bobby Portis,,returned to lineup
2022-04-16,Bucks,Khris Middleton,,returned to lineup
2022-04-16,Bulls,Coby White,,returned to lineup
2022-04-16,Timberwolves,Taurean Prince,,returned to lineup
2022-04-17,Suns,Chris Paul,,returned to lineup
2022-04-17,Suns,Jae Crowder,,returned to lineup
2022-04-18,Warriors,,Andre Iguodala,neck spasms (DTD)
2022-04-19,Nets,,Kyrie Irving,sore right knee (DTD)
2022-04-21,Suns,,Devin Booker,strained right hamstring (DTD)
2022-04-21,Warriors,Andre Iguodala,,returned to lineup
2022-04-24,Bucks,,Luca Vildoza,illness (DTD)
2022-04-26,Bucks,Luca Vildoza,,returned to lineup
2022-04-26,Hawks,,Bogdan Bogdanovic,sore right knee (out for season)
2022-04-28,Suns,Devin Booker,,returned to lineup
2022-04-29,Grizzlies,,Ziaire Williams,sore right knee (DTD)
2022-05-03,Grizzlies,Ziaire Williams,,returned to lineup
2022-05-06,Suns,,Torrey Craig,right elbow injury (DTD)
2022-05-10,Suns,Torrey Craig,,returned to lineup
2022-05-13,Warriors,,Otto Porter Jr.,sore right foot (DTD)
2022-05-17,Warriors,Otto Porter Jr.,,returned to lineup
2022-05-24,Warriors,,Otto Porter Jr.,sore left foot (DTD)
2022-06-02,Warriors,Otto Porter Jr.,,returned to lineup
2022-06-07,Pelicans,,Brandon Ingram,surgery on right fifth finger to repair flexion contracture (out for season)
2022-06-14,Hawks,,Bogdan Bogdanovic,surgery on right knee to repair patella tendon (date approximate)
2022-06-14,Hawks,,Jalen Johnson,nonsurgical procedure on left knee to relieve tendinitis (date approximate)
2022-06-30,Grizzlies,,Jaren Jackson Jr.,surgery on right foot to repair stress fracture (out indefinitely)
2022-07-11,Pelicans,,E.J. Liddell,torn ACL in right knee (out for season)
2022-07-12,Bucks,,Khris Middleton,surgery on left wrist to repair torn ligament (out indefinitely) (date approximate)
2022-07-26,Pelicans,,E.J. Liddell,surgery on right knee to repair torn ACL (out for season)
2022-08-25,Thunder,,Chet Holmgren,Lisfranc injury in right foot (out for season)
2022-09-01,Bulls,,Lonzo Ball,surgery on left knee (out for season)
2022-09-02,Celtics,,Danilo Gallinari,torn ACL in left knee (out for season)
2022-09-23,Celtics,,Danilo Gallinari,surgery on left knee to repair torn ACL (out for season)
2022-09-28,Nets,,Seth Curry,surgery on ankle (out indefinitely)
2022-09-30,Wizards,,Will Barton,tightness in lower back (DTD)
2022-10-02,Jazz,,Udoka Azubuike,surgery on right ankle (out indefinitely)
2022-10-03,Magic,,Admiral Schofield,sore left knee (DTD)
2022-10-03,Magic,,Gary Harris,surgery on left knee to repair meniscus (out indefinitely)
2022-10-03,Magic,,Markelle Fultz,fractured left big toe (out indefinitely)
2022-10-10,Heat,,Omer Yurtseven,sore left ankle (DTD)
2022-10-10,Nuggets,,Collin Gillespie,fractured lower leg (out indefinitely)
2022-10-11,Hornets,,LaMelo Ball,sprained left ankle (DTD)
2022-10-16,Bucks,,Khris Middleton,recovering from surgery on left wrist to repair torn ligament (out indefinitely)
2022-10-16,Hawks,,Bogdan Bogdanovic,recovering from surgery on right knee to repair patella tendon (out indefinitely)
2022-10-19,Blazers,,Olivier Sarr,wrist injury (DTD)
2022-10-19,Cavaliers,,Dylan Windler,ankle injury (DTD)
2022-10-19,Grizzlies,,Ziaire Williams,knee injury (DTD)
2022-10-19,Heat,,Omer Yurtseven,"bone spur, stress reaction in left ankle (surgery) (out indefinitely)"
2022-10-19,Lakers,,Thomas Bryant,thumb injury (DTD)
2022-10-19,Magic,,Cole Anthony,illness (DTD)
2022-10-19,Magic,,Moe Wagner,foot injury (DTD)
2022-10-19,Nuggets,,Collin Gillespie,leg injury (DTD)
2022-10-19,Pacers,,Myles Turner,ankle injury (DTD)
2022-10-19,Pelicans,,Jaxson Hayes,elbow injury (DTD)
2022-10-19,Pelicans,,Kira Lewis Jr.,knee injury (DTD)
2022-10-19,Rockets,,TyTy Washington Jr.,knee injury (DTD)
2022-10-19,Wizards,,Corey Kispert,sprained left ankle (DTD)
2022-10-23,Pelicans,Jaxson Hayes,,returned to lineup
2022-10-23,Thunder,,Shai Gilgeous-Alexander,bruised left hip (DTD)
2022-10-24,Blazers,,Justise Winslow,ankle injury (DTD)
2022-10-24,Rockets,,Alperen Sengun,illness (DTD)
2022-10-25,Suns,,Ish Wainright,sore lower back (DTD)
2022-10-25,Thunder,Shai Gilgeous-Alexander,,returned to lineup
2022-10-26,Blazers,Justise Winslow,,returned to lineup
2022-10-26,Pacers,Myles Turner,,returned to lineup
2022-10-26,Pistons,,Jaden Ivey,illness (DTD)
2022-10-26,Spurs,,Joshua Primo,illness (DTD)
2022-10-27,Blazers,,Damian Lillard,strained right calf (DTD)
2022-10-27,Heat,,Dewayne Dedmon,foot injury (DTD)
2022-10-27,Magic,,Cole Anthony,right oblique muscle injury (DTD)
2022-10-28,Lakers,,Anthony Davis,tightness in lower back (DTD)
2022-10-28,Pistons,Jaden Ivey,,returned to lineup
2022-10-28,Timberwolves,,Jordan McLaughlin,heel injury (DTD)
2022-10-29,Pacers,,Aaron Nesmith,right foot injury (DTD)
2022-10-29,Pacers,,T.J. McConnell,right knee injury (DTD)
2022-10-30,Lakers,Anthony Davis,,returned to lineup
2022-10-30,Nuggets,,Bones Hyland,hip injury (DTD)
2022-10-30,Spurs,,Isaiah Roby,flu (DTD)
2022-10-31,Pacers,T.J. McConnell,,returned to lineup
2022-10-31,Rockets,,Jae'Sean Tate,right ankle injury (DTD)
2022-11-01,Bulls,,Coby White,bruised left quadriceps (DTD)
2022-11-02,76ers,,De'Anthony Melton,lower back injury (DTD)
2022-11-02,Cavaliers,Dylan Windler,,returned to lineup
2022-11-03,Magic,,Terrence Ross,bruised left knee (DTD)
2022-11-04,76ers,De'Anthony Melton,,returned to lineup
2022-11-05,Raptors,,Pascal Siakam,groin injury (DTD)
2022-11-05,Suns,,Cameron Johnson,right knee injury (DTD)
2022-11-06,Lakers,,Patrick Beverley,illness (DTD)
2022-11-06,Raptors,,Khem Birch,sore right knee (DTD)
2022-11-07,Hawks,,Trae Young,right shin injury (DTD)
2022-11-09,Blazers,,Jusuf Nurkic,sore right adductor (DTD)
2022-11-09,Hawks,Trae Young,,returned to lineup
2022-11-09,Magic,,Paolo Banchero,sprained left ankle (DTD)
2022-11-09,Nuggets,,Zeke Nnaji,sprained right ankle (DTD)
2022-11-09,Pacers,Aaron Nesmith,,returned to lineup
2022-11-09,Suns,,Chris Paul,sore right heel (DTD)
2022-11-09,Timberwolves,,Austin Rivers,illness (DTD)
2022-11-10,Wizards,,Taj Gibson,neck injury (DTD)
2022-11-11,Nuggets,Zeke Nnaji,,returned to lineup
2022-11-13,76ers,,Furkan Korkmaz,left knee injury (DTD)
2022-11-13,Nets,,Ben Simmons,sore left knee (DTD)
2022-11-13,Timberwolves,,Naz Reid,illness (DTD)
2022-11-13,Timberwolves,Austin Rivers,,returned to lineup
2022-11-14,Clippers,,John Wall (Hildred),left knee injury (DTD)
2022-11-14,Raptors,,Gary Trent Jr.,sore right hip (DTD)
2022-11-14,Spurs,,Malaki Branham,sprained left ankle (DTD)
2022-11-14,Suns,Ish Wainright,,returned to lineup
2022-11-15,Blazers,Jusuf Nurkic,,returned to lineup
2022-11-15,Clippers,John Wall (Hildred),,returned to lineup
2022-11-15,Heat,,Omer Yurtseven,"surgery on left ankle to repair bone spur, stress reaction (out indefinitely)"
2022-11-15,Nets,Ben Simmons,,returned to lineup
2022-11-16,Heat,,Bam Adebayo,bruised left knee (DTD)
2022-11-16,Magic,,Wendell Carter Jr.,right foot injury (DTD)
2022-11-16,Warriors,,Jonathan Kuminga,illness (DTD)
2022-11-17,Clippers,,Luke Kennard,strained right calf (DTD)
2022-11-18,76ers,,Tobias Harris,left hip injury (DTD)
2022-11-18,Heat,,Duncan Robinson,sprained right hand (DTD)
2022-11-18,Heat,,Gabe Vincent,left knee injury (DTD)
2022-11-20,Heat,Duncan Robinson,,returned to lineup
2022-11-20,Heat,Bam Adebayo,,returned to lineup
2022-11-20,Jazz,,Mike Conley Jr.,left knee injury (DTD)
2022-11-20,Lakers,,Juan Toscano-Anderson,back injury (DTD)
2022-11-20,Lakers,,Max Christie,NBA health and safety protocols (DTD)
2022-11-21,Heat,,Heat,surgery on finger (out indefinitely)
2022-11-21,Pacers,,Andrew Nembhard,bruised left knee (DTD)
2022-11-21,Timberwolves,,Kyle Anderson,back spasms (DTD)
2022-11-21,Warriors,,Andrew Wiggins,sore left foot (DTD)
2022-11-22,76ers,,Jaden Springer,right quadriceps injury (DTD)
2022-11-22,76ers,Tobias Harris,,returned to lineup
2022-11-23,76ers,,Matisse Thybulle,left ankle injury (DTD)
2022-11-23,Celtics,,J.D. Davison,sprained right ankle (DTD)
2022-11-23,Heat,Gabe Vincent,,returned to lineup
2022-11-23,Pacers,,Isaiah Jackson,sprained left ankle (DTD)
2022-11-23,Raptors,,Dalano Banton,sprained left ankle (DTD)
2022-11-23,Timberwolves,Kyle Anderson,,returned to lineup
2022-11-23,Warriors,Andrew Wiggins,,returned to lineup
2022-11-25,Pistons,,Jaden Ivey,sore right knee (DTD)
2022-11-27,Heat,,Gabe Vincent,left knee injury (DTD)
2022-11-27,Magic,,Jalen Suggs,sore right ankle (DTD)
2022-11-28,Hornets,,Terry Rozier,illness (DTD)
2022-11-28,Kings,,Chima Moneke,right thigh injury (DTD)
2022-11-28,Magic,,Mo Bamba,back spasms (DTD)
2022-11-28,Pacers,Andrew Nembhard,,returned to lineup
2022-11-29,Pistons,,Nerlens Noel,sore left knee (DTD)
2022-11-30,Heat,Gabe Vincent,,returned to lineup
2022-11-30,Nets,,Day'Ron Sharpe,illness (DTD)
2022-11-30,Spurs,,Jakob Poeltl,bone bruise in right knee (DTD)
2022-12-04,Kings,,Terence Davis,lower back injury (DTD)
2022-12-05,Grizzlies,,Ja Morant,sore left ankle (DTD)
2022-12-05,Grizzlies,,John Konchar,toe injury (DTD)
2022-12-05,Hawks,,Trent Forrest,concussion (DTD)
2022-12-05,Raptors,,Juan Hernangomez,sprained right ankle (DTD)
2022-12-07,Bucks,,Wes Matthews Jr.,NBA health and safety protocols (DTD)
2022-12-07,Clippers,,Marcus Morris,illness (DTD)
2022-12-07,Clippers,Luke Kennard,,returned to lineup
2022-12-07,Grizzlies,John Konchar,,returned to lineup
2022-12-07,Lakers,,Patrick Beverley,sore right knee (DTD)
2022-12-07,Pacers,,Jalen Smith,sore right knee (DTD)
2022-12-07,Wizards,,Bradley Beal,strained right hamstring (DTD)
2022-12-08,Rockets,,Bruno Fernando,illness (DTD)
2022-12-09,Lakers,Patrick Beverley,,returned to lineup
2022-12-09,Pacers,Jalen Smith,,returned to lineup
2022-12-09,Wizards,,Will Barton,foot injury (DTD)
2022-12-10,Pacers,,James Johnson,illness (DTD)
2022-12-11,Raptors,,O.G. Anunoby,sore left hip (DTD)
2022-12-11,76ers,,Danuel House Jr.,left foot injury
2022-12-12,Hawks,,Clint Capela,left Achilles injury (DTD)
2022-12-12,Hawks,,Trae Young,tightness in lower back (DTD)
2022-12-12,Mavericks,,Josh Green,sprained right elbow (DTD)
2022-12-12,Pacers,James Johnson,,returned to lineup
2022-12-14,Hawks,Clint Capela,,returned to lineup
2022-12-14,Kings,,Kevin Huerter,sore left ankle (DTD)
2022-12-14,Wizards,,Kristaps Porzingis,tightness in lower back (DTD)
2022-12-15,Bucks,,Serge Ibaka,illness (DTD)
2022-12-15,Clippers,,Luke Kennard,right calf injury (DTD)
2022-12-15,Heat,,Bam Adebayo,sprained left ankle (DTD)
2022-12-16,76ers,Danuel House Jr.,,returned to lineup
2022-12-16,Kings,Kevin Huerter,,returned to lineup
2022-12-17,Bucks,,Khris Middleton,sore right knee (DTD)
2022-12-17,Clippers,Luke Kennard,,returned to lineup
2022-12-17,Heat,,Udonis Haslem,right Achilles injury (DTD)
2022-12-17,Heat,Bam Adebayo,,returned to lineup
2022-12-17,Wizards,Kristaps Porzingis,,returned to lineup
2022-12-18,Lakers,,Patrick Beverley,right calf injury (DTD)
2022-12-18,Lakers,Patrick Beverley,,returned to lineup
2022-12-18,Raptors,,Gary Trent Jr.,sore left quadriceps (DTD)
2022-12-19,Cavaliers,,Lamar Stevens,sore right knee (DTD)
2022-12-19,Lakers,,Russell Westbrook,sore left foot (DTD)
2022-12-19,Mavericks,,Dwight Powell,bruised left thigh (DTD)
2022-12-19,Suns,,Devin Booker,groin injury (DTD)
2022-12-19,Thunder,,Darius Bazley,illness (DTD)
2022-12-19,Thunder,,Josh Giddey,illness (DTD)
2022-12-19,Thunder,,Ousmane Dieng,wrist injury (DTD)
2022-12-19,Timberwolves,,Kyle Anderson,back spasms (DTD)
2022-12-20,Heat,Udonis Haslem,,returned to lineup
2022-12-20,Wizards,,Kristaps Porzingis,illness (DTD)
2022-12-21,Knicks,,Quentin Grimes,sprained right ankle (DTD)
2022-12-21,Mavericks,,Dorian Finney-Smith,strained right adductor (DTD)
2022-12-21,Mavericks,Dwight Powell,,returned to lineup
2022-12-21,Nets,,Kyrie Irving,right calf injury (DTD)
2022-12-21,Warriors,,Klay Thompson,right Achilles tendon injury (DTD)
2022-12-23,Knicks,Quentin Grimes,,returned to lineup
2022-12-23,Nets,Kyrie Irving,,returned to lineup
2022-12-23,Raptors,Gary Trent Jr.,,returned to lineup
2022-12-25,Mavericks,,Frank Ntilikina,sore left knee (DTD)
2022-12-25,Warriors,Klay Thompson,,returned to lineup
2022-12-26,Hornets,,Nick Richards,sprained right ankle (DTD)
2022-12-27,Knicks,,Jalen Brunson,sore right hip (DTD)
2022-12-27,Mavericks,Frank Ntilikina,,returned to lineup
2022-12-29,Cavaliers,,Cedi Osman,sore lower back (DTD)
2022-12-31,Cavaliers,Cedi Osman,,returned to lineup
2023-01-01,Bucks,,George Hill,illness (DTD)
2023-01-02,Lakers,,Lonnie Walker IV,bruised tailbone (DTD)
2023-01-02,Mavericks,,JaVale McGee,illness (DTD)
2023-01-02,Nets,,Markieff Morris,illness (DTD)
2023-01-02,Nets,,Royce O'Neale,illness (DTD)
2023-01-02,Timberwolves,,D'Angelo Russell,illness (DTD)
2023-01-02,Timberwolves,,Naz Reid,back spasms (DTD)
2023-01-02,Warriors,,James Wiseman,sprained left ankle (DTD)
2023-01-04,Nets,Royce O'Neale,,returned to lineup
2023-01-05,Mavericks,JaVale McGee,,returned to lineup
2023-01-06,Timberwolves,Naz Reid,,returned to lineup
2023-01-08,Jazz,,Simone Fontecchio,illness (DTD)
2023-01-08,Pistons,,Jalen Duren,sore right ankle (DTD)
2023-01-08,Pistons,,Rodney McGruder,illness (DTD)
2023-01-09,Bulls,,Tony Bradley,NBA health and safety protocols (DTD)
2023-01-09,Wizards,,Johnny Davis (Christian),strained right hip (DTD)
2023-01-10,Heat,,Bam Adebayo,right wrist injury (DTD)
2023-01-10,Heat,,Tyler Herro,left Achilles injury (DTD)
2023-01-10,Jazz,,Leandro Bolmaro,illness (DTD)
2023-01-10,Jazz,Simone Fontecchio,,returned to lineup
2023-01-10,Pistons,,Isaiah Stewart,sore left shoulder (DTD)
2023-01-10,Pistons,Rodney McGruder,,returned to lineup
2023-01-10,Raptors,,Otto Porter Jr.,surgery on left foot (out for season)
2023-01-10,Suns,,Deandre Ayton,sprained left ankle (DTD)
2023-01-10,Suns,Deandre Ayton,,returned to lineup
2023-01-11,Bulls,,Javonte Green,arthroscopic debridement surgery on right knee (out indefinitely)
2023-01-11,Pacers,,Myles Turner,back spasms (DTD)
2023-01-11,Pacers,,Oshae Brissett,left hamstring injury (DTD)
2023-01-11,Spurs,,Devin Vassell,arthroscopic surgery on left knee (out indefinitely)
2023-01-11,Timberwolves,,Kyle Anderson,illness (DTD)
2023-01-12,Heat,Bam Adebayo,,returned to lineup
2023-01-13,Pacers,Oshae Brissett,,returned to lineup
2023-01-13,Timberwolves,Kyle Anderson,,returned to lineup
2023-01-15,Bulls,Tony Bradley,,returned to lineup
2023-01-15,Clippers,,John Wall (Hildred),sore abdominal (DTD)
2023-01-15,Mavericks,,Tim Hardaway Jr.,sprained left ankle (DTD)
2023-01-15,Nets,,Ben Simmons,sore back (DTD)
2023-01-17,Nets,Ben Simmons,,returned to lineup
2023-01-17,Raptors,,Dalano Banton,right hip pointer (DTD)
2023-01-18,Timberwolves,,Austin Rivers,bruised left knee (DTD)
2023-01-21,76ers,,Joel Embiid,left foot injury (DTD)
2023-01-22,Knicks,,Immanuel Quickley,sore left knee (DTD)
2023-01-22,Suns,,Deandre Ayton,illness (DTD)
2023-01-23,Hawks,,De'Andre Hunter,shortness of breath (DTD)
2023-01-23,Pistons,,Killian Hayes,left shoulder injury (DTD)
2023-01-23,Timberwolves,,Taurean Prince,sprained left ankle (DTD)
2023-01-24,Knicks,Immanuel Quickley,,returned to lineup
2023-01-25,76ers,Joel Embiid,,returned to lineup
2023-01-25,Blazers,,Josh Hart,tightness in right hamstring (DTD)
2023-01-25,Jazz,,Micah Potter,surgery on right elbow (out indefinitely)
2023-01-25,Nets,,Day'Ron Sharpe,sore lower back (DTD)
2023-01-25,Nuggets,,Jack White,strained left adductor (DTD)
2023-01-25,Pistons,Killian Hayes,,returned to lineup
2023-01-25,76ers,,Jaden Springer,illness (DTD)
2023-01-26,Suns,Deandre Ayton,,returned to lineup
2023-01-26,Thunder,,Luguentz Dort,strained right hamstring (DTD)
2023-01-28,Hawks,De'Andre Hunter,,returned to lineup
2023-01-30,Pistons,,Hamidou Diallo,illness (DTD)
2023-02-01,Timberwolves,,Bryn Forbes,sprained right ankle (DTD)
2023-02-01,Timberwolves,,Rudy Gobert,right groin injury (DTD)
2023-02-02,Heat,,Victor Oladipo,sprained right ankle (DTD)
2023-02-02,Knicks,,Jalen Brunson,illness (DTD)
2023-02-02,Knicks,,Ryan Arcidiacono,illness (DTD)
2023-02-02,Pistons,Hamidou Diallo,,returned to lineup
2023-02-03,Pacers,,Chris Duarte,sore left ankle (DTD)
2023-02-03,Timberwolves,Rudy Gobert,,returned to lineup
2023-02-04,Knicks,Jalen Brunson,,returned to lineup
2023-02-06,Jazz,,Jarred Vanderbilt,back spasms (DTD)
2023-02-06,Rockets,,Garrison Mathews,left big toe injury (DTD)
2023-02-06,Wizards,,Bradley Beal,sore left foot (DTD)
2023-02-08,Pacers,Chris Duarte,,returned to lineup
2023-02-08,Suns,,Devin Booker,left groin injury (DTD)
2023-02-08,Timberwolves,,Rudy Gobert,right groin injury (DTD)
2023-02-08,Warriors,,Ryan Rollins,surgery on right foot to repair Jones fracture in fifth metatarsal (out for season)
2023-02-08,Wizards,Bradley Beal,,returned to lineup
2023-02-10,Suns,Devin Booker,,returned to lineup
2023-02-10,Timberwolves,Rudy Gobert,,returned to lineup
2023-02-14,Heat,,Tyler Herro,bruised left knee (DTD)
2023-02-14,Magic,,Cole Anthony,sore right wrist (DTD)
2023-02-15,Bulls,,Goran Dragic,sore left knee (DTD)
2023-02-15,Cavaliers,,Ricky Rubio,illness (DTD)
2023-02-15,Hornets,,Terry Rozier,sprained right hand (DTD)
2023-02-17,Rockets,,Jalen Green,strained left groin (DTD)
